step_size,                  x,              v_num,            u_exact,

0.010101,                   0,           0.0952539,                   0,

0.010101,            0.010101,            0.180305,           0.0859755,

0.010101,            0.020202,            0.256133,             0.16272,

0.010101,            0.030303,            0.323624,            0.231122,

0.010101,            0.040404,             0.38358,            0.291981,

0.010101,           0.0505051,            0.436724,            0.346022,

0.010101,           0.0606061,             0.48371,            0.393901,

0.010101,           0.0707071,            0.525131,             0.43621,

0.010101,           0.0808081,            0.561521,            0.473483,

0.010101,           0.0909091,            0.593363,            0.506205,

0.010101,             0.10101,            0.621095,            0.534812,

0.010101,            0.111111,            0.645111,            0.559701,

0.010101,            0.121212,            0.665768,            0.581228,

0.010101,            0.131313,            0.683389,            0.599716,

0.010101,            0.141414,            0.698266,            0.615458,

0.010101,            0.151515,            0.710661,            0.628717,

0.010101,            0.161616,            0.720815,            0.639731,

0.010101,            0.171717,            0.728942,            0.648717,

0.010101,            0.181818,            0.735236,            0.655869,

0.010101,            0.191919,            0.739874,            0.661364,

0.010101,             0.20202,            0.743015,             0.66536,

0.010101,            0.212121,            0.744803,            0.668002,

0.010101,            0.222222,            0.745368,             0.66942,

0.010101,            0.232323,            0.744827,            0.669731,

0.010101,            0.242424,            0.743287,            0.669042,

0.010101,            0.252525,            0.740843,            0.667448,

0.010101,            0.262626,            0.737583,            0.665037,

0.010101,            0.272727,            0.733584,            0.661888,

0.010101,            0.282828,            0.728918,             0.65807,

0.010101,            0.292929,            0.723649,            0.653649,

0.010101,             0.30303,            0.717835,            0.648682,

0.010101,            0.313131,            0.711528,            0.643222,

0.010101,            0.323232,            0.704776,            0.637317,

0.010101,            0.333333,            0.697621,            0.631008,

0.010101,            0.343434,            0.690101,            0.624335,

0.010101,            0.353535,            0.682253,            0.617332,

0.010101,            0.363636,            0.674108,            0.610032,

0.010101,            0.373737,            0.665693,            0.602463,

0.010101,            0.383838,            0.657036,            0.594651,

0.010101,            0.393939,            0.648159,            0.586618,

0.010101,             0.40404,            0.639083,            0.578388,

0.010101,            0.414141,            0.629828,            0.569977,

0.010101,            0.424242,            0.620411,            0.561404,

0.010101,            0.434343,            0.610847,            0.552684,

0.010101,            0.444444,            0.601151,            0.543832,

0.010101,            0.454545,            0.591334,             0.53486,

0.010101,            0.464646,             0.58141,            0.525779,

0.010101,            0.474747,            0.571387,            0.516601,

0.010101,            0.484848,            0.561276,            0.507333,

0.010101,            0.494949,            0.551085,            0.497986,

0.010101,            0.505051,            0.540822,            0.488566,

0.010101,            0.515152,            0.530493,            0.479081,

0.010101,            0.525253,            0.520105,            0.469537,

0.010101,            0.535354,            0.509664,            0.459939,

0.010101,            0.545455,            0.499175,            0.450293,

0.010101,            0.555556,            0.488642,            0.440604,

0.010101,            0.565657,            0.478069,            0.430875,

0.010101,            0.575758,            0.467461,             0.42111,

0.010101,            0.585859,            0.456821,            0.411313,

0.010101,             0.59596,            0.446151,            0.401487,

0.010101,            0.606061,            0.435455,            0.391634,

0.010101,            0.616162,            0.424736,            0.381758,

0.010101,            0.626263,            0.413994,             0.37186,

0.010101,            0.636364,            0.403234,            0.361942,

0.010101,            0.646465,            0.392455,            0.352007,

0.010101,            0.656566,            0.381661,            0.342056,

0.010101,            0.666667,            0.370853,            0.332091,

0.010101,            0.676768,            0.360031,            0.322113,

0.010101,            0.686869,            0.349198,            0.312123,

0.010101,             0.69697,            0.338354,            0.302122,

0.010101,            0.707071,            0.327501,            0.292112,

0.010101,            0.717172,            0.316639,            0.282093,

0.010101,            0.727273,            0.305769,            0.272066,

0.010101,            0.737374,            0.294892,            0.262032,

0.010101,            0.747475,            0.284009,            0.251992,

0.010101,            0.757576,            0.273119,            0.241946,

0.010101,            0.767677,            0.262225,            0.231895,

0.010101,            0.777778,            0.251326,            0.221839,

0.010101,            0.787879,            0.240423,            0.211778,

0.010101,             0.79798,            0.229515,            0.201714,

0.010101,            0.808081,            0.218604,            0.191646,

0.010101,            0.818182,            0.207691,            0.181576,

0.010101,            0.828283,            0.196774,            0.171502,

0.010101,            0.838384,            0.185854,            0.161426,

0.010101,            0.848485,            0.174933,            0.151347,

0.010101,            0.858586,            0.164009,            0.141266,

0.010101,            0.868687,            0.153083,            0.131184,

0.010101,            0.878788,            0.142156,            0.121099,

0.010101,            0.888889,            0.131227,            0.111014,

0.010101,             0.89899,            0.120296,            0.100926,

0.010101,            0.909091,            0.109365,           0.0908377,

0.010101,            0.919192,           0.0984319,            0.080748,

0.010101,            0.929293,           0.0874981,           0.0706572,

0.010101,            0.939394,           0.0765633,           0.0605655,

0.010101,            0.949495,           0.0656276,           0.0504729,

0.010101,            0.959596,           0.0546912,           0.0403796,

0.010101,            0.969697,           0.0437541,           0.0302856,

0.010101,            0.979798,           0.0328164,           0.0201909,

0.010101,            0.989899,           0.0218781,           0.0100957,

0.010101,                   1,           0.0109393,         5.88857e-18,

